Timestamp,Mag_X,Mag_Y,Mag_Z,Ori_X,Ori_Y,Ori_Z,Position
2025-07-25 23:39:08.884,17.962502,-34.293751,28.312502,101.121545,-55.320496,-123.391657,6_0
2025-07-25 23:39:07.504,-3.2625,47.100002,8.700001,13.158102,9.420455,-107.128082,6_0
2025-07-25 23:39:12.674,22.3125,-26.268751,35.100002,85.293913,-49.815124,-146.185678,6_0
2025-07-25 23:39:04.234,-38.887501,27.393751,-4.9875,6.625499,-34.568912,-72.343875,6_0
2025-07-25 23:39:12.664,22.387501,-27.675001,33.900002,88.671777,-53.386668,-143.912209,6_0
2025-07-25 23:39:05.094,-2.2125,-47.550003,-9.675,172.658685,-35.867253,-62.718697,6_0
2025-07-25 23:39:03.564,11.0625,-43.050003,19.668751,123.457841,-57.322035,-95.840784,6_0
2025-07-25 23:39:10.294,-35.550003,-23.418751,-14.94375,167.244914,12.862571,-61.238117,6_0
2025-07-25 23:39:12.694,22.106251,-23.231251,37.556252,82.428465,-45.865673,-147.324271,6_0
2025-07-25 23:39:04.264,-42.206253,22.106251,-7.44375,13.323985,-38.669686,-63.519707,6_0
2025-07-25 23:39:09.824,-43.650002,0.54375,-24.487501,76.819124,-20.564668,-8.637056,6_0
2025-07-25 23:39:12.744,21.375,-15.150001,41.362503,76.666859,-36.959311,-147.405932,6_0
2025-07-25 23:39:03.704,11.4375,-20.15625,40.293751,74.967364,-36.73859,-131.182731,6_0
2025-07-25 23:39:09.694,-46.912502,6.76875,-15.50625,51.205235,-41.543362,-30.29988,6_0
2025-07-25 23:39:13.534,-44.793751,-6.075,-19.96875,73.06017,-49.470135,-12.894631,6_0
2025-07-25 23:39:01.924,-33.806252,-18.018751,24.50625,70.520515,-51.329135,-76.967885,6_0
2025-07-25 23:39:02.154,-11.2875,19.800001,39.375,38.993441,-7.526755,-120.958334,6_0
2025-07-25 23:39:09.064,13.293751,-0.58125,43.612503,66.026441,-11.626689,-137.029359,6_0
2025-07-25 23:39:01.544,-36.450001,-27.468752,-9.150001,100.305979,-48.456026,-12.671219,6_0
2025-07-25 23:39:09.794,-43.818752,0.73125,-23.2875,72.756739,-26.328446,-11.205563,6_0
